layout,layoutCount,algorithm,iteration,foodCount,cost,expandedNodes,score,result
tiny,4,ucs,0,3,20,44,510,Win
tiny,4,ucs,0,4,15,40,525,Win
tiny,4,ucs,0,5,25,52,525,Win
tiny,4,ucs,0,6,23,60,537,Win
tiny,4,ucs,0,7,25,54,545,Win
tiny,4,ucs,0,8,30,79,550,Win
tiny,4,ucs,0,9,24,51,566,Win
tiny,4,ucs,0,10,30,70,570,Win
tiny,4,ucs,0,11,33,75,583,Win
tiny,4,astar,0,2,4,4,516,Win
tiny,4,astar,0,3,20,32,510,Win
tiny,4,astar,0,4,15,22,525,Win
tiny,4,astar,0,5,25,39,525,Win
tiny,4,astar,0,6,23,39,537,Win
tiny,4,astar,0,7,25,34,545,Win
tiny,4,astar,0,8,30,45,550,Win
tiny,4,astar,0,9,24,29,566,Win
tiny,4,astar,0,10,30,48,570,Win
tiny,4,astar,0,11,33,47,583,Win
tiny,4,bds,0,2,4,4,516,Win
tiny,4,bds,0,3,20,44,510,Win
tiny,4,bds,0,4,15,31,525,Win
tiny,4,bds,0,5,25,48,525,Win
tiny,4,bds,0,6,23,44,537,Win
tiny,4,bds,0,7,25,40,545,Win
tiny,4,bds,0,8,30,57,550,Win
tiny,4,bds,0,9,24,32,566,Win
tiny,4,bds,0,10,30,44,570,Win
tiny,4,bds,0,11,33,54,583,Win
tiny,5,dfs,0,2,7,9,513,Win
tiny,5,dfs,0,3,20,41,517,Win
tiny,5,dfs,0,4,22,52,518,Win
tiny,5,dfs,0,5,26,68,524,Win
tiny,5,dfs,0,6,22,65,538,Win
tiny,5,dfs,0,7,22,55,548,Win
tiny,5,dfs,0,8,57,166,523,Win
tiny,5,dfs,0,9,46,124,544,Win
tiny,5,dfs,0,10,58,160,542,Win
tiny,5,dfs,0,11,47,120,563,Win
tiny,5,bfs,0,2,7,19,513,Win
tiny,5,bfs,0,3,16,36,514,Win
tiny,5,bfs,0,4,10,24,530,Win
tiny,5,bfs,0,5,22,46,528,Win
tiny,5,bfs,0,6,18,47,542,Win
tiny,5,bfs,0,7,16,39,554,Win
tiny,5,bfs,0,8,37,93,543,Win
tiny,5,bfs,0,9,34,82,556,Win
tiny,5,bfs,0,10,40,81,560,Win
tiny,5,bfs,0,11,35,79,575,Win
tiny,5,ucs,0,2,7,19,513,Win
tiny,5,ucs,0,3,16,36,514,Win
tiny,5,ucs,0,4,10,24,530,Win
tiny,5,ucs,0,5,22,46,528,Win
tiny,5,ucs,0,6,18,47,542,Win
tiny,5,ucs,0,7,16,39,554,Win
tiny,5,ucs,0,8,37,93,543,Win
tiny,5,ucs,0,9,34,82,556,Win
tiny,5,ucs,0,10,40,81,560,Win
tiny,5,ucs,0,11,35,79,575,Win
tiny,5,astar,0,2,7,8,513,Win
tiny,5,astar,0,3,16,29,514,Win
tiny,5,astar,0,4,10,12,530,Win
tiny,5,astar,0,5,22,29,528,Win
tiny,5,astar,0,6,18,22,542,Win
tiny,5,astar,0,7,16,20,554,Win
tiny,5,astar,0,8,37,65,543,Win
tiny,5,astar,0,9,34,62,556,Win
tiny,5,astar,0,10,40,72,560,Win
tiny,5,astar,0,11,35,51,575,Win
tiny,5,bds,0,2,7,15,513,Win
tiny,5,bds,0,3,16,24,514,Win
tiny,5,bds,0,4,10,12,530,Win
tiny,5,bds,0,5,22,37,528,Win
tiny,5,bds,0,6,18,32,542,Win
tiny,5,bds,0,7,16,23,554,Win
tiny,5,bds,0,8,37,58,543,Win
tiny,5,bds,0,9,34,52,556,Win
tiny,5,bds,0,10,40,55,560,Win
tiny,5,bds,0,11,35,44,575,Win
tiny,6,dfs,0,2,19,28,503,Win
tiny,6,dfs,0,3,17,64,513,Win
tiny,6,dfs,0,4,23,76,526,Win
tiny,6,dfs,0,5,16,16,534,Win
tiny,6,dfs,0,6,24,85,536,Win
tiny,6,dfs,0,7,24,69,553,Win
tiny,6,dfs,0,8,40,86,540,Win
tiny,6,dfs,0,9,39,81,551,Win
tiny,6,dfs,0,10,39,129,571,Win
tiny,6,dfs,0,11,33,109,577,Win
tiny,6,bfs,0,2,17,27,505,Win
tiny,6,bfs,0,3,17,37,513,Win
tiny,6,bfs,0,4,23,41,526,Win
tiny,6,bfs,0,5,16,30,534,Win
tiny,6,bfs,0,6,24,49,536,Win
tiny,6,bfs,0,7,24,45,553,Win
tiny,6,bfs,0,8,40,86,540,Win
tiny,6,bfs,0,9,37,65,553,Win
tiny,6,bfs,0,10,37,65,573,Win
tiny,6,bfs,0,11,31,64,579,Win
tiny,6,ucs,0,2,17,27,505,Win
tiny,6,ucs,0,3,17,37,513,Win
tiny,6,ucs,0,4,23,41,526,Win
tiny,6,ucs,0,5,16,30,534,Win
tiny,6,ucs,0,6,24,49,536,Win
tiny,6,ucs,0,7,24,45,553,Win
tiny,6,ucs,0,8,40,86,540,Win
tiny,6,ucs,0,9,37,65,553,Win
tiny,6,ucs,0,10,37,65,573,Win
tiny,6,ucs,0,11,31,64,579,Win
tiny,6,astar,0,2,17,23,505,Win
tiny,6,astar,0,3,17,20,513,Win
tiny,6,astar,0,4,23,32,526,Win
tiny,6,astar,0,5,16,17,534,Win
tiny,6,astar,0,6,24,33,536,Win
tiny,6,astar,0,7,24,28,553,Win
tiny,6,astar,0,8,40,77,540,Win
tiny,6,astar,0,9,37,48,553,Win
tiny,6,astar,0,10,37,48,573,Win
tiny,6,astar,0,11,31,45,579,Win
tiny,6,bds,0,2,17,27,505,Win
tiny,6,bds,0,3,17,26,513,Win
tiny,6,bds,0,4,23,40,526,Win
tiny,6,bds,0,5,16,27,534,Win
tiny,6,bds,0,6,24,34,536,Win
tiny,6,bds,0,7,24,42,553,Win
tiny,6,bds,0,8,40,69,540,Win
tiny,6,bds,0,9,37,55,553,Win
tiny,6,bds,0,10,37,55,573,Win
tiny,6,bds,0,11,31,46,579,Win
tiny,7,dfs,0,2,27,42,493,Win
tiny,7,dfs,0,3,20,31,513,Win
tiny,7,dfs,0,4,16,71,524,Win
tiny,7,dfs,0,5,31,70,519,Win
tiny,7,dfs,0,6,24,70,536,Win
tiny,7,dfs,0,7,27,60,548,Win
tiny,7,dfs,0,8,40,142,540,Win
tiny,7,dfs,0,9,36,138,554,Win
tiny,7,dfs,0,10,40,104,569,Win
tiny,7,dfs,0,11,41,170,569,Win
tiny,7,bfs,0,2,23,51,497,Win
tiny,7,bfs,0,3,14,31,516,Win
tiny,7,bfs,0,4,16,37,524,Win
tiny,7,bfs,0,5,29,64,521,Win
tiny,7,bfs,0,6,20,36,540,Win
tiny,7,bfs,0,7,21,45,549,Win
tiny,7,bfs,0,8,34,60,546,Win
tiny,7,bfs,0,9,30,65,560,Win
tiny,7,bfs,0,10,36,73,567,Win
tiny,7,bfs,0,11,35,77,575,Win
tiny,7,ucs,0,2,23,51,497,Win
tiny,7,ucs,0,3,14,31,516,Win
tiny,7,ucs,0,4,16,37,524,Win
tiny,7,ucs,0,5,29,64,521,Win
tiny,7,ucs,0,6,20,36,540,Win
tiny,7,ucs,0,7,21,45,549,Win
tiny,7,ucs,0,8,34,60,546,Win
tiny,7,ucs,0,9,30,65,560,Win
tiny,7,ucs,0,10,36,73,567,Win
tiny,7,ucs,0,11,35,77,575,Win
tiny,7,astar,0,2,23,42,497,Win
tiny,7,astar,0,3,14,23,517,Win
