layout,layoutCount,algorithm,iteration,cost,expandedNodes,score,result
tiny,4,ucs,4,6,16,504,Win
tiny,4,ucs,5,9,21,501,Win
tiny,4,ucs,6,1,2,509,Win
tiny,4,ucs,7,2,4,508,Win
tiny,4,ucs,8,7,22,503,Win
tiny,4,ucs,9,4,12,506,Win
tiny,4,astar,0,3,3,507,Win
tiny,4,astar,1,1,1,509,Win
tiny,4,astar,2,6,8,504,Win
tiny,4,astar,3,3,3,507,Win
tiny,4,astar,4,6,7,504,Win
tiny,4,astar,5,9,14,501,Win
tiny,4,astar,6,1,1,509,Win
tiny,4,astar,7,2,2,508,Win
tiny,4,astar,8,7,8,503,Win
tiny,4,astar,9,4,7,506,Win
tiny,4,bds,0,3,3,507,Win
tiny,4,bds,1,1,1,509,Win
tiny,4,bds,2,6,15,504,Win
tiny,4,bds,3,3,6,507,Win
tiny,4,bds,4,6,16,504,Win
tiny,4,bds,5,9,25,501,Win
tiny,4,bds,6,1,1,509,Win
tiny,4,bds,7,2,3,508,Win
tiny,4,bds,8,7,19,503,Win
tiny,4,bds,9,4,6,506,Win
tiny,5,dfs,0,11,26,499,Win
tiny,5,dfs,1,10,21,500,Win
tiny,5,dfs,2,10,21,500,Win
tiny,5,dfs,3,10,13,500,Win
tiny,5,dfs,4,8,24,502,Win
tiny,5,dfs,5,1,1,509,Win
tiny,5,dfs,6,10,10,500,Win
tiny,5,dfs,7,10,15,500,Win
tiny,5,dfs,8,15,20,495,Win
tiny,5,dfs,9,8,11,502,Win
tiny,5,bfs,0,5,7,505,Win
tiny,5,bfs,1,6,22,504,Win
tiny,5,bfs,2,4,7,506,Win
tiny,5,bfs,3,10,27,500,Win
tiny,5,bfs,4,4,14,506,Win
tiny,5,bfs,5,1,3,509,Win
tiny,5,bfs,6,10,24,500,Win
tiny,5,bfs,7,10,29,500,Win
tiny,5,bfs,8,13,29,497,Win
tiny,5,bfs,9,8,23,502,Win
tiny,5,ucs,0,5,7,505,Win
tiny,5,ucs,1,6,22,504,Win
tiny,5,ucs,2,4,7,506,Win
tiny,5,ucs,3,10,27,500,Win
tiny,5,ucs,4,4,14,506,Win
tiny,5,ucs,5,1,3,509,Win
tiny,5,ucs,6,10,24,500,Win
tiny,5,ucs,7,10,29,500,Win
tiny,5,ucs,8,13,29,497,Win
tiny,5,ucs,9,8,23,502,Win
tiny,5,astar,0,5,5,505,Win
tiny,5,astar,1,6,10,504,Win
tiny,5,astar,2,4,4,506,Win
tiny,5,astar,3,10,14,500,Win
tiny,5,astar,4,4,5,506,Win
tiny,5,astar,5,1,1,509,Win
tiny,5,astar,6,10,13,500,Win
tiny,5,astar,7,10,21,500,Win
tiny,5,astar,8,13,22,497,Win
tiny,5,astar,9,8,13,502,Win
tiny,5,bds,0,5,9,505,Win
tiny,5,bds,1,6,11,504,Win
tiny,5,bds,2,4,5,506,Win
tiny,5,bds,3,10,19,500,Win
tiny,5,bds,4,4,7,506,Win
tiny,5,bds,5,1,1,509,Win
tiny,5,bds,6,10,20,500,Win
tiny,5,bds,7,10,16,500,Win
tiny,5,bds,8,13,18,497,Win
tiny,5,bds,9,8,20,502,Win
tiny,6,dfs,0,8,12,502,Win
tiny,6,dfs,1,3,29,507,Win
tiny,6,dfs,2,15,18,495,Win
tiny,6,dfs,3,4,12,506,Win
tiny,6,dfs,4,2,28,508,Win
tiny,6,dfs,5,6,14,504,Win
tiny,6,dfs,6,8,8,502,Win
tiny,6,dfs,7,15,29,495,Win
tiny,6,dfs,8,4,4,506,Win
tiny,6,dfs,9,9,18,501,Win
tiny,6,bfs,0,8,14,502,Win
tiny,6,bfs,1,3,6,507,Win
tiny,6,bfs,2,15,22,495,Win
tiny,6,bfs,3,4,10,506,Win
tiny,6,bfs,4,2,3,508,Win
tiny,6,bfs,5,6,13,504,Win
tiny,6,bfs,6,8,14,502,Win
tiny,6,bfs,7,15,29,495,Win
tiny,6,bfs,8,4,14,506,Win
tiny,6,bfs,9,9,24,501,Win
tiny,6,ucs,0,8,14,502,Win
tiny,6,ucs,1,3,6,507,Win
tiny,6,ucs,2,15,22,495,Win
tiny,6,ucs,3,4,10,506,Win
tiny,6,ucs,4,2,3,508,Win
tiny,6,ucs,5,6,13,504,Win
tiny,6,ucs,6,8,14,502,Win
tiny,6,ucs,7,15,29,495,Win
tiny,6,ucs,8,4,14,506,Win
tiny,6,ucs,9,9,24,501,Win
tiny,6,astar,0,8,9,502,Win
tiny,6,astar,1,3,3,507,Win
tiny,6,astar,2,15,19,495,Win
tiny,6,astar,3,4,5,506,Win
tiny,6,astar,4,2,2,508,Win
tiny,6,astar,5,6,8,504,Win
tiny,6,astar,6,8,10,502,Win
tiny,6,astar,7,15,26,495,Win
tiny,6,astar,8,4,4,506,Win
tiny,6,astar,9,9,15,501,Win
tiny,6,bds,0,8,11,502,Win
tiny,6,bds,1,3,5,507,Win
tiny,6,bds,2,15,26,495,Win
tiny,6,bds,3,4,8,506,Win
tiny,6,bds,4,2,2,508,Win
