layout,algorithm,iteration,cost,expanded nodes,score,result
tinyMaze,ucs,63,6,13,504,Win
tinyMaze,ucs,64,5,8,505,Win
tinyMaze,ucs,65,6,14,504,Win
tinyMaze,ucs,66,5,10,505,Win
tinyMaze,ucs,67,5,10,505,Win
tinyMaze,ucs,68,6,14,504,Win
tinyMaze,ucs,69,5,10,505,Win
tinyMaze,ucs,70,5,12,505,Win
tinyMaze,ucs,71,3,5,507,Win
tinyMaze,ucs,72,6,12,504,Win
tinyMaze,ucs,73,1,2,509,Win
tinyMaze,ucs,74,5,9,505,Win
tinyMaze,ucs,75,7,15,503,Win
tinyMaze,ucs,76,3,5,507,Win
tinyMaze,ucs,77,3,8,507,Win
tinyMaze,ucs,78,3,7,507,Win
tinyMaze,ucs,79,7,15,503,Win
tinyMaze,ucs,80,2,3,508,Win
tinyMaze,ucs,81,4,8,506,Win
tinyMaze,ucs,82,4,6,506,Win
tinyMaze,ucs,83,1,2,509,Win
tinyMaze,ucs,84,1,2,509,Win
tinyMaze,ucs,85,5,10,505,Win
tinyMaze,ucs,86,1,2,509,Win
tinyMaze,ucs,87,4,5,506,Win
tinyMaze,ucs,88,3,6,507,Win
tinyMaze,ucs,89,6,13,504,Win
tinyMaze,ucs,90,3,5,507,Win
tinyMaze,ucs,91,1,1,509,Win
tinyMaze,ucs,92,5,11,505,Win
tinyMaze,ucs,93,6,12,504,Win
tinyMaze,ucs,94,5,10,505,Win
tinyMaze,ucs,95,5,11,505,Win
tinyMaze,ucs,96,2,3,508,Win
tinyMaze,ucs,97,1,1,509,Win
tinyMaze,ucs,98,4,8,506,Win
tinyMaze,ucs,99,7,15,503,Win
tinyMaze,ucs,100,3,6,507,Win
tinyMaze,astar,1,7,15,503,Win
tinyMaze,astar,2,2,4,508,Win
tinyMaze,astar,3,4,10,506,Win
tinyMaze,astar,4,1,1,509,Win
tinyMaze,astar,5,1,1,509,Win
tinyMaze,astar,6,6,14,504,Win
tinyMaze,astar,7,1,1,509,Win
tinyMaze,astar,8,7,15,503,Win
tinyMaze,astar,9,2,4,508,Win
tinyMaze,astar,10,5,10,505,Win
tinyMaze,astar,11,5,11,505,Win
tinyMaze,astar,12,4,8,506,Win
tinyMaze,astar,13,5,10,505,Win
tinyMaze,astar,14,7,15,503,Win
tinyMaze,astar,15,7,13,503,Win
tinyMaze,astar,16,6,11,504,Win
tinyMaze,astar,17,2,3,508,Win
tinyMaze,astar,18,2,4,508,Win
tinyMaze,astar,19,1,1,509,Win
tinyMaze,astar,20,4,7,506,Win
tinyMaze,astar,21,1,2,509,Win
tinyMaze,astar,22,5,9,505,Win
tinyMaze,astar,23,2,3,508,Win
tinyMaze,astar,24,1,1,509,Win
tinyMaze,astar,25,3,5,507,Win
tinyMaze,astar,26,6,13,504,Win
tinyMaze,astar,27,1,2,509,Win
tinyMaze,astar,28,5,10,505,Win
tinyMaze,astar,29,2,3,508,Win
tinyMaze,astar,30,1,2,509,Win
tinyMaze,astar,31,7,14,503,Win
tinyMaze,astar,32,2,3,508,Win
tinyMaze,astar,33,6,12,504,Win
tinyMaze,astar,34,2,4,508,Win
tinyMaze,astar,35,4,9,506,Win
tinyMaze,astar,36,3,5,507,Win
tinyMaze,astar,37,3,6,507,Win
tinyMaze,astar,38,2,4,508,Win
tinyMaze,astar,39,4,8,506,Win
tinyMaze,astar,40,8,15,502,Win
tinyMaze,astar,41,4,8,506,Win
tinyMaze,astar,42,6,13,504,Win
tinyMaze,astar,43,3,6,507,Win
tinyMaze,astar,44,1,2,509,Win
tinyMaze,astar,45,1,1,509,Win
tinyMaze,astar,46,7,15,503,Win
tinyMaze,astar,47,4,7,506,Win
tinyMaze,astar,48,3,6,507,Win
tinyMaze,astar,49,5,12,505,Win
tinyMaze,astar,50,5,9,505,Win
tinyMaze,astar,51,5,11,505,Win
tinyMaze,astar,52,7,15,503,Win
tinyMaze,astar,53,2,4,508,Win
tinyMaze,astar,54,2,4,508,Win
tinyMaze,astar,55,3,5,507,Win
tinyMaze,astar,56,4,8,506,Win
tinyMaze,astar,57,4,8,506,Win
tinyMaze,astar,58,3,6,507,Win
tinyMaze,astar,59,3,6,507,Win
tinyMaze,astar,60,7,13,503,Win
tinyMaze,astar,61,5,10,505,Win
tinyMaze,astar,62,4,9,506,Win
tinyMaze,astar,63,6,13,504,Win
